order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
1,2022/7/3,Aalopuri,Fastfood,20,13,260,,Mr.,Night
2,2022/8/23,Vadapav,Fastfood,20,15,300,Cash,Mr.,Afternoon
3,2022/11/20,Vadapav,Fastfood,20,1,20,Cash,Mr.,Afternoon
4,2023/2/3,Sugarcane juice,Beverages,25,6,150,Online,Mr.,Night
5,2022/10/2,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Evening
6,2022/11/14,Vadapav,Fastfood,20,10,200,Cash,Mr.,Evening
7,2022/5/3,Sugarcane juice,Beverages,25,9,225,Cash,Mr.,Evening
8,2022/12/22,Panipuri,Fastfood,20,14,280,Online,Mr.,Night
9,2022/6/10,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Morning
10,2022/9/16,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon
11,2022/12/1,Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon
12,2022/7/12,Vadapav,Fastfood,20,8,160,Online,Mrs.,Night
13,2022/12/22,Panipuri,Fastfood,20,9,180,Online,Mrs.,Afternoon
14,2022/11/25,Frankie,Fastfood,50,4,200,Online,Mr.,Morning
15,2023/2/3,Aalopuri,Fastfood,20,3,60,Cash,Mrs.,Evening
16,2022/4/14,Sandwich,Fastfood,60,11,660,,Mrs.,Midnight
17,2022/10/16,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Morning
18,2022/11/5,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Night
19,2022/8/22,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Night
20,2022/9/15,Cold coffee,Beverages,40,10,400,Online,Mr.,Night
21,2022/12/21,Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening
22,2022/10/4,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Evening
23,2022/5/26,Sandwich,Fastfood,60,3,180,Online,Mr.,Midnight
24,2023/2/11,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Afternoon
25,2022/8/31,Sandwich,Fastfood,60,1,60,Online,Mrs.,Evening
26,2022/8/18,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Afternoon
27,2022/10/12,Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon
28,2023/1/6,Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon
29,2023/2/10,Sugarcane juice,Beverages,25,9,225,Online,Mr.,Afternoon
30,2023/1/28,Frankie,Fastfood,50,2,100,Cash,Mrs.,Night
31,2022/9/14,Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening
32,2022/5/6,Aalopuri,Fastfood,20,4,80,,Mr.,Morning
33,2023/2/5,Aalopuri,Fastfood,20,13,260,Online,Mr.,Night
34,2023/2/4,Frankie,Fastfood,50,12,600,Online,Mrs.,Evening
35,2022/5/22,Vadapav,Fastfood,20,8,160,Cash,Mr.,Morning
36,2022/7/2,Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon
37,2023/1/5,Frankie,Fastfood,50,10,500,Cash,Mr.,Night
38,2023/3/8,Panipuri,Fastfood,20,12,240,Online,Mrs.,Night
39,2022/5/14,Vadapav,Fastfood,20,2,40,Online,Mr.,Evening
40,2023/2/5,Sandwich,Fastfood,60,5,300,Online,Mrs.,Night
41,2022/11/13,Cold coffee,Beverages,40,11,440,,Mr.,Afternoon
42,2022/5/9,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night
43,2022/5/26,Vadapav,Fastfood,20,1,20,Cash,Mr.,Night
44,2022/8/28,Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening
45,2022/8/15,Sugarcane juice,Beverages,25,6,150,Cash,Mrs.,Afternoon
46,2022/5/7,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening
47,2022/7/10,Sandwich,Fastfood,60,7,420,,Mr.,Morning
48,2023/2/23,Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon
49,2022/11/6,Frankie,Fastfood,50,4,200,Online,Mrs.,Morning
50,2022/11/2,Vadapav,Fastfood,20,8,160,Cash,Mrs.,Midnight
51,2022/5/16,Frankie,Fastfood,50,15,750,Online,Mrs.,Morning
52,2023/3/16,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
53,2022/7/26,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Afternoon
54,2022/12/28,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning
55,2022/5/7,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night
56,2022/11/23,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Midnight
57,2022/8/4,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning
58,2023/2/3,Vadapav,Fastfood,20,6,120,Online,Mrs.,Morning
59,2022/7/1,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning
60,2022/6/11,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
61,2022/12/25,Vadapav,Fastfood,20,14,280,Cash,Mrs.,Afternoon
62,2022/10/17,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Afternoon
63,2022/12/1,Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning
64,2022/12/9,Cold coffee,Beverages,40,1,40,Cash,Mr.,Morning
65,2022/7/25,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning
66,2022/4/5,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning
67,2022/5/15,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Midnight
68,2022/12/17,Cold coffee,Beverages,40,2,80,,Mr.,Night
69,2023/1/10,Vadapav,Fastfood,20,7,140,Cash,Mr.,Midnight
70,2022/5/9,Cold coffee,Beverages,40,14,560,,Mrs.,Morning
71,2022/12/5,Cold coffee,Beverages,40,6,240,Online,Mr.,Night
72,2023/3/9,Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon
73,2022/7/29,Panipuri,Fastfood,20,5,100,Cash,Mr.,Midnight
74,2022/8/15,Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening
75,2023/2/2,Cold coffee,Beverages,40,6,240,Online,Mrs.,Afternoon
76,2022/8/17,Vadapav,Fastfood,20,9,180,Online,Mr.,Morning
77,2023/2/4,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
78,2022/10/1,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Evening
79,2022/11/5,Panipuri,Fastfood,20,6,120,Online,Mr.,Night
80,2022/5/24,Frankie,Fastfood,50,13,650,Cash,Mr.,Evening
81,2022/11/19,Frankie,Fastfood,50,12,600,Online,Mrs.,Night
82,2022/7/17,Frankie,Fastfood,50,3,150,Online,Mrs.,Evening
83,2022/11/13,Frankie,Fastfood,50,11,550,,Mr.,Evening
84,2023/3/3,Panipuri,Fastfood,20,13,260,Cash,Mr.,Midnight
85,2022/8/19,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Night
86,2023/3/9,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Morning
87,2022/5/29,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Night
88,2022/7/7,Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening
89,2022/12/23,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Evening
90,2022/10/29,Vadapav,Fastfood,20,15,300,Online,Mr.,Night
91,2023/3/22,Cold coffee,Beverages,40,6,240,,Mrs.,Evening
92,2022/5/13,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Afternoon
93,2022/7/3,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight
94,2022/9/14,Aalopuri,Fastfood,20,15,300,,Mrs.,Night
95,2022/5/12,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Night
96,2022/8/22,Sandwich,Fastfood,60,15,900,,Mr.,Morning
97,2023/3/29,Cold coffee,Beverages,40,13,520,Online,Mr.,Evening
98,2022/12/24,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning
99,2022/9/11,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Evening
100,2022/5/8,Panipuri,Fastfood,20,11,220,,Mr.,Morning
101,2023/3/26,Vadapav,Fastfood,20,3,60,Online,Mrs.,Morning
102,2023/3/13,Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning
103,2023/3/14,Cold coffee,Beverages,40,8,320,Online,Mrs.,Midnight
104,2022/10/27,Cold coffee,Beverages,40,13,520,Online,Mr.,Morning
105,2023/1/25,Panipuri,Fastfood,20,8,160,Cash,Mrs.,Evening
106,2023/2/25,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening
107,2023/2/7,Sandwich,Fastfood,60,4,240,Online,Mr.,Afternoon
108,2022/8/6,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon
109,2022/8/8,Cold coffee,Beverages,40,12,480,,Mr.,Afternoon
110,2022/11/16,Panipuri,Fastfood,20,2,40,Online,Mrs.,Morning
111,2022/9/4,Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight
112,2023/2/24,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning
113,2022/12/12,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon
114,2022/8/14,Aalopuri,Fastfood,20,10,200,Online,Mr.,Afternoon
115,2023/1/12,Aalopuri,Fastfood,20,13,260,,Mr.,Evening
116,2022/8/26,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Evening
117,2023/3/9,Frankie,Fastfood,50,7,350,Online,Mrs.,Evening
118,2022/7/6,Sandwich,Fastfood,60,1,60,Online,Mr.,Midnight
119,2022/5/12,Panipuri,Fastfood,20,10,200,Cash,Mr.,Evening
120,2022/7/10,Frankie,Fastfood,50,2,100,Cash,Mrs.,Evening
121,2022/8/26,Cold coffee,Beverages,40,8,320,Cash,Mr.,Afternoon
122,2022/4/24,Panipuri,Fastfood,20,3,60,,Mrs.,Night
123,2022/6/9,Cold coffee,Beverages,40,6,240,Online,Mr.,Evening
124,2022/10/14,Sugarcane juice,Beverages,25,13,325,,Mrs.,Evening
125,2022/4/10,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight
126,2022/4/8,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night
127,2022/12/3,Aalopuri,Fastfood,20,1,20,,Mrs.,Morning
128,2022/8/7,Vadapav,Fastfood,20,11,220,Online,Mr.,Midnight
129,2022/10/19,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Morning
130,2022/12/28,Sugarcane juice,Beverages,25,7,175,Cash,Mr.,Night
131,2023/1/19,Sandwich,Fastfood,60,8,480,Cash,Mr.,Night
132,2022/12/5,Vadapav,Fastfood,20,4,80,Online,Mrs.,Night
133,2022/12/20,Aalopuri,Fastfood,20,5,100,Online,Mr.,Midnight
134,2022/7/17,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Night
135,2023/1/14,Aalopuri,Fastfood,20,8,160,Online,Mr.,Midnight
136,2022/8/24,Aalopuri,Fastfood,20,15,300,Online,Mr.,Morning
137,2023/3/19,Sugarcane juice,Beverages,25,6,150,,Mr.,Afternoon
138,2022/9/1,Sandwich,Fastfood,60,15,900,Online,Mr.,Night
139,2023/2/26,Frankie,Fastfood,50,11,550,Online,Mrs.,Night
140,2022/6/12,Frankie,Fastfood,50,13,650,Cash,Mr.,Night
141,2022/6/15,Aalopuri,Fastfood,20,4,80,,Mr.,Evening
142,2022/12/30,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Morning
143,2022/9/18,Frankie,Fastfood,50,8,400,,Mrs.,Afternoon
144,2022/11/17,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Evening
145,2022/10/9,Sandwich,Fastfood,60,14,840,Online,Mr.,Morning
146,2022/10/28,Frankie,Fastfood,50,4,200,,Mrs.,Afternoon
147,2022/5/17,Panipuri,Fastfood,20,7,140,Online,Mr.,Evening
148,2023/3/19,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening
149,2022/8/9,Sandwich,Fastfood,60,7,420,Online,Mr.,Morning
150,2023/1/30,Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon
151,2022/7/10,Frankie,Fastfood,50,13,650,Online,Mrs.,Morning
152,2022/10/24,Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon
153,2022/7/21,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Evening
154,2022/12/13,Vadapav,Fastfood,20,3,60,Cash,Mr.,Night
155,2023/2/7,Sugarcane juice,Beverages,25,10,250,Cash,Mrs.,Evening
156,2023/3/25,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight
157,2023/2/24,Frankie,Fastfood,50,7,350,Online,Mrs.,Midnight
158,2022/5/16,Aalopuri,Fastfood,20,2,40,,Mr.,Midnight
159,2022/10/3,Sugarcane juice,Beverages,25,1,25,Online,Mrs.,Afternoon
160,2022/7/23,Vadapav,Fastfood,20,10,200,Online,Mr.,Night
161,2023/1/19,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Evening
162,2022/5/7,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight
163,2023/1/6,Frankie,Fastfood,50,6,300,Online,Mrs.,Midnight
164,2022/8/10,Sugarcane juice,Beverages,25,7,175,Online,Mr.,Afternoon
165,2023/1/5,Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight
166,2022/6/1,Panipuri,Fastfood,20,6,120,Cash,Mrs.,Evening
167,2023/2/23,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Morning
168,2022/4/19,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight
169,2022/6/20,Vadapav,Fastfood,20,6,120,Cash,Mr.,Morning
170,2023/2/13,Aalopuri,Fastfood,20,6,120,,Mrs.,Afternoon
171,2023/3/2,Vadapav,Fastfood,20,11,220,Cash,Mrs.,Midnight
172,2022/8/27,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Night
173,2023/1/20,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
174,2022/9/3,Aalopuri,Fastfood,20,2,40,Online,Mr.,Evening
175,2022/10/17,Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon
176,2022/8/4,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Midnight
177,2022/7/21,Panipuri,Fastfood,20,11,220,Online,Mrs.,Morning
178,2022/12/9,Aalopuri,Fastfood,20,2,40,Cash,Mrs.,Morning
179,2023/3/3,Sugarcane juice,Beverages,25,5,125,,Mrs.,Midnight
180,2022/12/1,Vadapav,Fastfood,20,6,120,Online,Mrs.,Afternoon
181,2022/6/9,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Night
182,2022/7/2,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight
183,2022/7/10,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight
184,2023/1/3,Cold coffee,Beverages,40,8,320,Cash,Mr.,Night
185,2023/1/13,Sugarcane juice,Beverages,25,15,375,,Mr.,Night
186,2023/3/15,Frankie,Fastfood,50,2,100,Online,Mr.,Afternoon
187,2022/10/11,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Morning
188,2022/12/28,Panipuri,Fastfood,20,14,280,Cash,Mrs.,Night
189,2023/2/8,Vadapav,Fastfood,20,12,240,Online,Mr.,Afternoon
190,2022/4/26,Cold coffee,Beverages,40,1,40,Online,Mr.,Evening
191,2022/5/20,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Morning
192,2022/10/26,Vadapav,Fastfood,20,2,40,Online,Mr.,Night
193,2023/2/5,Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight
194,2022/12/15,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Morning
195,2022/4/23,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night
